id,short_name,long_name,player_positions,overall,value_eur,age,dob,height_cm,weight_kg,club_name,club_position,club_jersey_number,club_joined,nationality,nation_position,nation_jersey_number,preferred_foot,player_traits,pace,shooting,passing,dribbling,defending,physic,pace_acceleration,pace_sprint_speed,shooting_finishing,shooting_shot_power,shooting_long_shots,shooting_positioning,shooting_penalties,passing_crossing,passing_short_passing,passing_curve,passing_fk_accuracy,passing_long_passing,passing_vision,dribbling_dribbling,dribbling_ball_control,dribbling_agility,dribbling_reactions,dribbling_balance,dribbling_composure,defending_heading_accuracy,defending_interceptions,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,physic_aggression,physic_jumping,physic_stamina,physic_strength,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
19,G. Lo Celso,Giovani Lo Celso,"CM, CAM",81,"  35,500,000 ",25,1996-04-09,177,68,Tottenham Hotspur,SUB,18,2020-07-27,Argentina,LCM,20,Left,"Finesse Shot, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",75,76,82,83,69,73,76,75,75,82,75,76,65,79,84,82,79,83,83,83,85,83,82,80,80,60,70,64,75,68,82,57,76,70,10,7,10,15,14,https://cdn.sofifa.com/players/226/226/22_120.png,https://cdn.sofifa.com/teams/18/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
20,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,CB,81,"  12,500,000 ",33,1988-02-12,183,76,SL Benfica,CB,30,2020-09-29,Argentina,LCB,19,Right,"Solid Player, Dives Into Tackles (AI), Leadership, Power Header",63,57,62,58,83,81,60,65,54,69,56,48,45,52,73,50,39,70,53,51,66,58,79,58,79,79,84,84,83,80,90,88,75,80,12,5,8,11,12,https://cdn.sofifa.com/players/192/366/22_120.png,https://cdn.sofifa.com/teams/234/60.png,https://cdn.sofifa.com/flags/pt.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
21,M. Acuña,Marcos Javier Acuña,"LB, LM",84,"  37,000,000 ",29,1991-10-28,172,69,Sevilla FC,LB,19,2020-09-14,Argentina,LB,8,Left,"Flair, Long Passer (AI), Outside Foot Shot",76,74,82,87,79,82,77,76,66,82,81,81,76,87,82,88,75,78,82,87,88,83,83,90,87,58,79,80,84,82,84,63,90,80,8,14,13,13,14,https://cdn.sofifa.com/players/224/334/22_120.png,https://cdn.sofifa.com/teams/481/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
22,E. Martínez,Damián Emiliano Martínez,GK,84,"  33,500,000 ",28,1992-09-02,195,88,Aston Villa,GK,1,2020-09-16,Argentina,GK,23,Right,"GK Long Throw, Team Player, Comes For Crosses",63,72,78,67,67,76,59,57,16,62,16,12,42,22,50,22,20,51,66,13,35,49,80,49,60,26,13,11,20,20,37,60,40,70,85,83,82,83,85,https://cdn.sofifa.com/players/202/811/22_120.png,https://cdn.sofifa.com/teams/2/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
23,L. Paredes,Leandro Daniel Paredes,"CDM, CM",81,"  28,000,000 ",27,1994-06-29,180,75,Paris Saint-Germain,SUB,8,2019-01-29,Argentina,CDM,5,Right,"Power Free-Kick, Dives Into Tackles (AI), Flair, Long Passer (AI), Long Shot Taker (AI), Outside Foot Shot",66,71,83,79,76,79,67,66,61,88,77,76,64,79,84,80,78,85,84,79,81,71,78,75,84,60,75,79,78,80,89,66,79,77,9,14,6,9,10,https://cdn.sofifa.com/players/207/439/22_120.png,https://cdn.sofifa.com/teams/73/60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1369/60.png,https://cdn.sofifa.com/flags/ar.png
24,J. Maclaren,Jamie Maclaren,ST,76,"  8,000,000 ",27,1993-07-29,179,76,Melbourne City FC,ST,9,2019-01-31,Australia,SUB,9,Right,"Solid Player, Finesse Shot",81,75,64,73,38,76,83,80,79,74,68,84,73,57,70,72,67,54,65,71,70,85,75,80,76,73,52,25,32,31,71,89,85,73,9,15,11,6,13,https://cdn.sofifa.com/players/212/232/22_120.png,https://cdn.sofifa.com/teams/112224/60.png,https://cdn.sofifa.com/flags/au.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
25,D. Vukovic,Daniel Vuković,GK,74,"  475,000 ",36,1985-03-27,187,95,N.E.C. Nijmegen,SUB,27,2021-07-01,Australia,SUB,18,Right,Cautious With Crosses,81,74,59,74,45,79,53,47,11,47,13,6,37,11,25,15,13,12,36,11,18,41,68,58,33,16,17,23,15,11,41,69,34,74,72,70,63,78,75,https://cdn.sofifa.com/players/181/481/22_120.png,https://cdn.sofifa.com/teams/1910/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
26,M. Degenek,Miloš Degenek,"CB, CDM",73,  -   ,27,1994-04-28,187,82,Fenerbahçe SK,SUB,14,2019-07-01,Australia,SUB,2,Right,Dives Into Tackles (AI),78,62,68,63,71,83,79,78,59,70,61,55,58,67,71,69,44,72,67,58,65,78,72,66,76,70,71,67,73,76,81,81,83,84,14,12,7,10,12,https://cdn.sofifa.com/players/229/585/22_120.png,https://cdn.sofifa.com/teams/1910/60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
27,R. McGree,Riley Patrick McGree,"CM, RM, CAM",70,"  3,200,000 ",22,1998-11-02,178,72,Birmingham City,SUB,18,2020-10-05,Australia,SUB,3,Left,Technical Dribbler (AI),79,69,68,74,62,73,81,77,70,68,67,74,63,66,69,68,62,68,71,73,72,84,71,75,73,53,65,64,63,58,67,68,78,73,12,9,5,8,13,https://cdn.sofifa.com/players/233/487/22_120.png,https://cdn.sofifa.com/teams/88/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
28,L. Thomas,Lawrence Andrew Kingsley Thomas,GK,69,"  950,000 ",29,1992-05-09,191,91,SønderjyskE,GK,1,2020-08-02,Australia,SUB,12,Right,"Rushes Out Of Goal, Comes For Crosses",63,76,74,72,73,76,32,42,14,48,13,14,15,14,38,19,15,41,54,18,14,61,72,34,63,12,12,16,20,18,32,65,32,52,71,66,64,65,69,https://cdn.sofifa.com/players/203/423/22_120.png,https://cdn.sofifa.com/teams/1447/60.png,https://cdn.sofifa.com/flags/dk.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
29,C. Elder,Callum Elder,LB,69,"  1,600,000 ",26,1995-01-27,180,67,Hull City,LB,3,2019-08-08,Australia,SUB,13,Left,"Flair, Technical Dribbler (AI)",73,41,61,63,64,68,72,74,36,54,38,56,36,67,62,65,63,59,55,63,62,62,62,65,60,62,64,61,67,66,61,72,80,65,12,14,11,13,11,https://cdn.sofifa.com/players/215/412/22_120.png,https://cdn.sofifa.com/teams/1952/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
30,B. Wright,Bailey Colin Wright,CB,68,"  1,100,000 ",28,1992-07-28,184,79,Sunderland,SUB,26,2020-08-02,Australia,SUB,5,Right,"Long Passer (AI), Power Header",63,38,51,53,67,74,64,62,39,40,36,39,39,47,62,36,27,49,46,44,61,58,65,63,64,68,67,67,67,66,72,84,69,77,13,10,15,15,16,https://cdn.sofifa.com/players/198/810/22_120.png,https://cdn.sofifa.com/teams/106/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
31,J. Irvine,Jackson Alexander Irvine,CM,68,"  1,200,000 ",28,1993-03-07,189,70,FC St. Pauli,RES,7,2021-07-05,Australia,SUB,22,Right,Playmaker (AI),59,65,65,67,67,76,64,55,64,72,65,69,55,61,67,63,58,63,70,67,70,58,70,58,69,73,66,65,67,64,72,80,80,75,7,13,11,9,11,https://cdn.sofifa.com/players/211/378/22_120.png,https://cdn.sofifa.com/teams/110329/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
32,K. Dougall,Kenneth William Dougall,"CDM, CM",67,"  900,000 ",28,1993-05-07,184,79,Blackpool,LCM,12,2020-10-16,Australia,SUB,14,Right,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Team Player",70,50,60,65,66,70,72,69,45,59,53,59,53,47,68,46,40,64,63,64,64,70,64,70,60,63,64,65,68,67,68,76,70,71,15,9,10,10,9,https://cdn.sofifa.com/players/233/105/22_120.png,https://cdn.sofifa.com/teams/1926/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
33,A. Taggart,Adam Jake Taggart,ST,70,"  1,600,000 ",28,1993-06-02,183,69,Cerezo Osaka,RS,9,2021-01-09,Australia,ST,10,Right,"Injury Prone, Finesse Shot",83,70,62,70,38,69,82,83,69,72,70,71,62,59,66,68,40,55,65,66,74,82,66,64,75,63,45,30,34,32,55,65,76,72,16,15,12,8,14,https://cdn.sofifa.com/players/202/676/22_120.png,https://cdn.sofifa.com/teams/101148/60.png,https://cdn.sofifa.com/flags/jp.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
34,M. Boyle,Martin Callie Boyle,"RM, ST, RWB",71,"  1,900,000 ",28,1993-04-25,172,70,Hibernian,RM,10,2015-07-01,Australia,RM,6,Right,"Long Shot Taker (AI), Speed Dribbler (AI)",92,66,60,71,49,63,93,91,67,73,58,67,67,67,63,57,54,50,59,72,66,83,62,77,62,51,36,53,54,47,56,70,84,55,14,10,13,15,7,https://cdn.sofifa.com/players/211/221/22_120.png,https://cdn.sofifa.com/teams/81/60.png,https://cdn.sofifa.com/flags/gb-sct.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
35,A. Mooy,Aaron Mooy,"CM, CAM",77,"  10,000,000 ",30,1990-09-15,175,68,Shanghai Port FC,CM,19,2020-08-28,Australia,RDM,8,Right,"Solid Player, Early Crosser, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",63,72,78,74,69,76,67,60,68,76,78,70,73,77,80,73,72,80,79,73,77,70,74,77,80,50,70,72,72,69,75,70,82,74,11,8,12,11,12,https://cdn.sofifa.com/players/194/958/22_120.png,https://cdn.sofifa.com/teams/112540/60.png,https://cdn.sofifa.com/flags/cn.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
36,T. Sainsbury,Trent Lucas Sainsbury,"CB, CDM",72,"  2,000,000 ",29,1992-01-05,183,76,KV Kortrijk,RCB,5,2020-08-19,Australia,RCB,20,Right,"Team Player, Comes For Crosses",69,57,56,52,74,75,69,69,55,66,58,52,63,48,67,52,25,65,47,45,55,67,68,67,70,72,76,78,70,72,72,78,75,76,13,12,11,14,6,https://cdn.sofifa.com/players/199/000/22_120.png,https://cdn.sofifa.com/teams/100081/60.png,https://cdn.sofifa.com/flags/be.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
37,R. Grant,Rhyan Bert Grant,RB,72,"  2,000,000 ",30,1991-02-26,176,79,Sydney FC,RB,23,2009-09-01,Australia,RB,4,Right,"Dives Into Tackles (AI), Team Player",74,62,67,69,66,82,77,71,60,67,64,65,56,68,73,59,51,59,67,67,68,79,65,75,70,55,68,66,66,68,77,86,95,77,16,15,16,7,10,https://cdn.sofifa.com/players/192/241/22_120.png,https://cdn.sofifa.com/teams/111400/60.png,https://cdn.sofifa.com/flags/au.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
38,A. Mabil,Awer Bul Mabil,"RW, LW",69,"  1,700,000 ",25,1995-09-15,179,65,FC Midtjylland,SUB,11,2015-07-28,Australia,LM,11,Right,Speed Dribbler (AI),89,60,64,69,34,55,91,87,63,69,47,66,53,65,66,64,59,53,67,67,68,85,60,72,64,44,35,34,33,20,47,66,70,49,16,12,18,13,12,https://cdn.sofifa.com/players/212/830/22_120.png,https://cdn.sofifa.com/teams/1516/60.png,https://cdn.sofifa.com/flags/dk.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
39,A. Hrustić,Ajdin Hrustić,"RM, CAM, CM",70,"  2,200,000 ",24,1996-07-05,183,74,Eintracht Frankfurt,RES,7,2020-09-28,Australia,LDM,7,Left,"Long Shot Taker (AI), Playmaker (AI)",69,65,68,72,57,67,71,68,63,67,68,67,63,68,69,73,69,65,68,71,74,75,67,72,70,51,60,58,59,48,66,65,76,64,9,7,8,7,6,https://cdn.sofifa.com/players/237/647/22_120.png,https://cdn.sofifa.com/teams/1824/60.png,https://cdn.sofifa.com/flags/de.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
40,H. Souttar,Harry James Souttar,CB,71,"  3,900,000 ",22,1998-10-22,200,79,Stoke City,CB,36,2016-09-30,Australia,LCB,19,Right,"Long Passer (AI), Power Header",41,28,48,58,72,75,43,40,25,33,26,26,40,24,63,26,31,58,47,56,62,58,70,33,52,71,72,73,70,71,63,70,66,84,12,12,12,15,13,https://cdn.sofifa.com/players/229/901/22_120.png,https://cdn.sofifa.com/teams/1806/60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
41,A. Behich,Aziz Eraltay Behich,"LB, LM",69,"  1,200,000 ",30,1990-12-16,170,63,GZT Giresunspor,SUB,16,2021-08-26,Australia,LB,16,Left,Long Throw-in,77,62,64,71,65,68,80,74,61,72,59,61,47,69,68,72,55,66,50,70,66,84,63,87,64,54,65,64,69,66,80,75,72,60,14,11,11,14,15,https://cdn.sofifa.com/players/202/157/22_120.png,https://cdn.sofifa.com/teams/112120/60.png,https://cdn.sofifa.com/flags/tr.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
42,M. Ryan,Mathew David Ryan,GK,77,"  8,500,000 ",29,1992-04-08,184,82,Real Sociedad,SUB,13,2021-07-12,Australia,GK,1,Right,"GK Long Throw, Rushes Out Of Goal",90,77,69,76,50,72,53,52,11,62,18,10,25,23,40,23,12,45,68,13,24,53,71,50,64,14,23,10,20,17,36,78,34,65,77,75,82,76,79,https://cdn.sofifa.com/players/199/005/22_120.png,https://cdn.sofifa.com/teams/457/60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
43,T. Rogić,Tomas Petar Rogić,CAM,72,"  2,400,000 ",28,1992-12-16,189,88,Celtic,RCM,18,2013-01-09,Australia,CAM,23,Left,"Injury Prone, Playmaker (AI)",66,71,70,74,50,63,67,65,68,78,75,73,56,61,74,76,62,71,72,76,77,64,62,66,76,53,44,51,53,43,48,32,54,77,12,11,13,12,11,https://cdn.sofifa.com/players/207/928/22_120.png,https://cdn.sofifa.com/teams/78/60.png,https://cdn.sofifa.com/flags/gb-sct.png,https://cdn.sofifa.com/teams/1415/60.png,https://cdn.sofifa.com/flags/au.png
